Fuel Type Code,Station Name,Street Address,Intersection Directions,City,State,ZIP,Plus4,Station Phone,Status Code,Expected Date,Groups With Access Code,Access Days Time,Cards Accepted,BD Blends,NG Fill Type Code,NG PSI,EV Level1 EVSE Num,EV Level2 EVSE Num,EV DC Fast Count,EV Other Info,EV Network,EV Network Web,Geocode Status,Latitude,Longitude,Date Last Confirmed,ID,Updated At,Owner Type Code,Federal Agency ID,Federal Agency Name,Open Date,Hydrogen Status Link,NG Vehicle Class,LPG Primary,E85 Blender Pump,EV Connector Types,Country,Intersection Directions (French),Access Days Time (French),BD Blends (French),Groups With Access Code (French),Hydrogen Is Retail,Access Code,Access Detail Code,Federal Agency Code
ELEC,Galpin Motors,15421 Roscoe Blvd,,Sepulveda,CA,91343,,800-256-6219,E,,Public - Call ahead,Dealership business hours,,,,,,2,,,,,200-9,34.221665,-118.468371,2018-05-03,6405,2018-05-03 14:44:18 UTC,P,,,2012-12-11,,,,,J1772,US,,,,Public - Appeler à l'avance,,public,CALL,
ELEC,Galleria at Tyler,1299 Galleria at Tyler,,Riverside,CA,92503,,951-351-3110,E,,Public,Mall business hours,,,,,,6,,,,,GPS,33.91115,-117.4591,2018-05-03,6425,2018-05-03 14:44:18 UTC,P,,,1997-08-30,,,,,J1772,US,,,,Public,,public,,
ELEC,City of Pasadena - Holly Street Garage,150 E Holly St,,Pasadena,CA,91103,,626-744-7665,E,,Public,24 hours daily; pay lot,,,,,,16,,,,,200-8,34.14762,-118.147111,2018-11-08,6505,2018-11-08 16:06:54 UTC,LG,,,1997-08-30,,,,,J1772,US,,,,Public,,public,,
ELEC,City of Pasadena - De Lacey Garage,45 De Lacey Ave,,Pasadena,CA,91105,,626-744-7665,E,,Public,24 hours daily; pay lot,,,,,,2,,,,,200-8,34.145015,-118.152223,2018-11-08,6506,2018-11-08 16:06:54 UTC,LG,,,1997-08-30,,,,,J1772,US,,,,Public,,public,,
ELEC,City of Pasadena - Schoolhouse Garage,33 E Green St,,Pasadena,CA,91105,,626-744-7665,E,,Public,24 hours daily; pay lot,,,,,,3,,,,,200-8,34.144506,-118.150015,2018-11-08,6507,2018-11-08 16:06:54 UTC,LG,,,1997-08-30,,,,,J1772,US,,,,Public,,public,,
ELEC,Pasadena Hilton,150 S Los Robles,,Pasadena,CA,91101,,626-577-1000,E,,Public,24 hours daily; for guest use only; see valet for access,,,,,,2,,,,,200-9,34.142973,-118.140553,2018-05-03,6508,2018-05-03 14:44:18 UTC,P,,,1997-08-31,,,,,J1772,US,,,,Public,,public,,
ELEC,Bristol Farms,606 Fair Oaks Ave,,South Pasadena,CA,91030,,626-441-5450,E,,Public,24 hours daily,,,,,,,,1 LP Inductive,,,200-9,34.118433,-118.149597,2018-09-10,6509,2018-09-10 19:53:21 UTC,P,,,1997-08-31,,,,,,US,,,,Public,,public,,
ELEC,Hyatt Regency Long Beach,200 S Pine Ave,,Long Beach,CA,90802,,562-491-1234,E,,Public,24 hours daily; pay lot; see valet for access,,,,,,1,,,,,GPS,33.7637,-118.192,2018-05-03,7172,2018-05-03 14:44:18 UTC,P,,,2012-05-04,,,,,J1772,US,,,,Public,,public,,
ELEC,Hilton - Los Angeles International Airport,5711 W Century Blvd,,Los Angeles,CA,90045,,310-410-4000,E,,Public,24 hours daily; for guest use only; see valet for access,,,,,,1,,,,,200-9,33.946181,-118.38161,2017-12-05,7180,2018-11-15 18:24:46 UTC,P,,,2015-08-01,,,,,J1772,US,,,,Public,,public,,
ELEC,Los Angeles International Airport (LAX) - Lot 6,1 World Way,Central Terminal Area (CTA) - P6,Los Angeles,CA,90045,,310-646-2911,E,,Public,24 hours daily; pay lot,,,,,,20,,,,,GPS,33.94325,-118.403342,2018-05-03,7184,2018-05-03 14:44:18 UTC,LG,,,1998-06-30,,,,,J1772,US,,,,Public,,public,,
ELEC,Northridge Fashion Center,9301 Tampa Ave,Located at Tampa & Nordhoff,Northridge,CA,91324,,818-885-9700,E,,Public,24 hours daily,,,,,,7,,,,,200-9,34.237946,-118.555646,2018-05-03,7192,2018-05-03 14:44:18 UTC,P,,,1998-05-30,,,,,J1772,US,,,,Public,,public,,
ELEC,Ontario Airport Hilton,700 N Haven Ave,,Ontario,CA,91764,,909-980-0400,E,,Public,24 hours daily; guest use only,,,,,,1,,,,,GPS,34.07122,-117.575,2018-05-03,7194,2018-05-03 14:44:18 UTC,P,,,1998-06-15,,,,,J1772,US,,,,Public,,public,,
ELEC,Courtyard Marriott - Oxnard Ventura,600 E Esplanade Dr,,Oxnard,CA,93030,,805-988-3600,E,,Public,24 hours daily; guest use only,,,,,,2,,,,,GPS,34.22935,-119.173,2018-05-03,7195,2018-05-03 14:44:18 UTC,P,,,1998-05-30,,,,,J1772,US,,,,Public,,public,,
ELEC,Hilton - Palm Springs,400 E Tahquitz Canyon Way,,Palm Springs,CA,92262,,760-320-6868,E,,Public,24 hours daily; pay lot; priority given to registered guests,,,,,,1,,,,,GPS,33.823353,-116.5436,2018-05-03,7196,2018-05-03 14:44:18 UTC,P,,,2011-12-12,,,,,J1772,US,,,,Public,,public,,
ELEC,East Bay Mini,4340 Rosewood Dr,,Pleasanton,CA,94588,,925-251-7070,E,,Public,Dealership business hours,,,,,,2,,,,,200-8,37.700187,-121.876172,2018-05-03,7197,2018-05-03 14:44:18 UTC,P,,,2012-12-14,,,,,J1772,US,,,,Public,,public,,
ELEC,CNTYOFRIVERSIDE,3535 12th Street,"12TH ST PRKNG#1
12TH ST PRKNG#2
12TH ST PRKNG#3; Near main entrance off 12th street
12TH ST PRKNG#4; Near main entrance off 12th street",Riverside,CA,92501,,888-758-4389,E,,Public,24 hours daily,,,,,,6,,,ChargePoint Network,http://www.chargepoint.com/,200-8,33.977163,-117.374653,2018-11-18,7205,2018-11-18 10:09:00 UTC,,,,,,,,,J1772,US,,,,Public,,public,,
ELEC,Inland Empire Foods,5425 Wilson St,,Riverside,CA,92509,,951-682-8222,E,,Public,"24 hours M-Th, 12am-4:30pm F",,,,,,2,,,,,GPS,34.0189,-117.38,2018-05-03,7206,2018-05-03 14:44:18 UTC,P,,,1998-05-30,,,,,J1772,US,,,,Public,,public,,
ELEC,Sacramento International Airport - Daily A Lot,Lindbergh Dr,,Sacramento,CA,95837,,916-874-0670,E,,Public,24 hours daily; pay lot,,,,,,4,,1 SP Inductive,,,GPS,38.69005,-121.58889,2018-05-03,7212,2018-05-03 14:44:18 UTC,P,,,1998-06-30,,,,,J1772,US,,,,Public,,public,,
ELEC,City of Santa Monica - Airport,3223 Donald Douglas Loop,,Santa Monica,CA,90405,,310-458-8516,E,,Public,24 hours daily,,,,,,3,,,,,200-9,34.017563,-118.447475,2018-05-03,7229,2018-05-03 14:44:18 UTC,LG,,,1998-06-30,,,,,J1772,US,,,,Public,,public,,
ELEC,City of Santa Monica - Pier,200 Santa Monica Pier,,Santa Monica,CA,90405,,310-458-8516,E,,Public,24 hours daily; pay lot,,,,,1,3,,,,,200-9,34.010021,-118.49583,2018-05-03,7230,2018-05-03 14:44:18 UTC,LG,,,1998-06-30,,,,,J1772 NEMA520,US,,,,Public,,public,,
ELEC,Sherman Oaks Fashion Square,14006 Riverside Dr,,Sherman Oaks,CA,91423,,818-783-0550,E,,Public,24 hours daily,,,,,,2,,,,,200-9,34.156943,-118.435252,2018-05-03,7233,2018-05-03 14:44:18 UTC,P,,,1998-05-30,,,,,J1772,US,,,,Public,,public,,
ELEC,City of Temecula - 6th Street Lot,28462 Front St,Mercedes Street,Temecula,CA,92590,,951-694-6411,E,,Public,24 hours daily,,,,,,2,,,,,GPS,33.49605,-117.152,2018-05-03,7236,2018-05-03 14:44:18 UTC,LG,,,2011-12-31,,,,,J1772,US,,,,Public,,public,,
ELEC,Universal City Hilton,333 Universal Terrace Pkwy,,Universal City,CA,91608,,818-506-2500,E,,Public,24 hours daily; pay lot; see valet for access,,,,,1,,,,,,200-8,34.138717,-118.35904,2018-05-03,7242,2018-05-03 14:44:18 UTC,P,,,1998-05-30,,,,,NEMA520,US,,,,Public,,public,,
ELEC,Van Nuys Amtrak/Metrolink Station,7724 Van Nuys Blvd,,Van Nuys,CA,91405,,800-371-5465,E,,Public,24 hours daily,,,,,,2,,,,,200-8,34.21108,-118.448704,2018-05-03,7245,2018-05-03 14:44:18 UTC,P,,,1998-06-30,,,,,J1772,US,,,,Public,,public,,
ELEC,Office Max - Home Depot,7075 Firestone Blvd,,Downey,CA,90241,,562-806-6600,E,,Public,24 hours daily,,,,,,4,,,,,200-8,33.94756,-118.153806,2018-05-03,7250,2018-05-03 14:44:18 UTC,T,,,1998-06-15,,,,,J1772,US,,,,Public,,public,,
ELEC,San Diego Convention Center - Ace Parking,111 W Harbor Dr,,San Diego,CA,92101,,619-237-0399,E,,Public,24 hours daily,,,,,,2,,,,,GPS,32.70597,-117.162,2018-05-03,7264,2018-05-03 14:44:18 UTC,P,,,1998-06-15,,,,,J1772,US,,,,Public,,public,,
ELEC,City of Lancaster - City Hall,44933 Fern Ave,Located in the north side parking lot under the solar sun shade parking.,Lancaster,CA,93534,,661-723-6000,E,,Public,24 hours daily,,,,,,3,,,,,200-9,34.698914,-118.145218,2018-05-03,7275,2018-05-03 14:44:18 UTC,T,,,1998-06-30,,,,,J1772,US,,,,Public,,public,,
ELEC,Hyatt at Fisherman's Wharf,555 N Point St,,San Francisco,CA,94133,,415-563-1234,E,,Public,24 hours daily; pay lot; see valet for access,,,,,,1,,,,,GPS,37.80619,-122.4152,2018-05-03,7280,2018-05-03 14:44:18 UTC,P,,,1998-07-01,,,,,J1772,US,,,,Public,,public,,
ELEC,Arden Fair Mall,1689 Arden Way,,Sacramento,CA,95815,,916-920-1167,E,,Public,24 hours daily,,,,,,4,,,,,200-8,38.599693,-121.427045,2018-11-08,7286,2018-11-08 16:06:54 UTC,P,,,1998-06-15,,,,,J1772,US,,,,Public,,public,,
ELEC,Japan Center Garage,1610 Geary Blvd,Garage Level 1,San Francisco,CA,94115,,415-567-4573,E,,Public,24 hours daily; pay lot,,,,,,,,1 SP Inductive,,,GPS,37.784912,-122.430237,2018-05-03,21351,2018-05-03 14:44:18 UTC,LG,,,2002-01-31,,,,,,US,,,,Public,,public,,
ELEC,Saint Mary's Square Garage,433 Kearny St,"At Pine St, Level 4",San Francisco,CA,94104,,415-956-8106,E,,Public,24 hours daily; pay lot,,,,,,,,1 SP Inductive,,,200-8,37.792058,-122.404312,2018-05-03,21354,2018-05-03 14:44:18 UTC,LG,,,2002-01-31,,,,,,US,,,,Public,,public,,
ELEC,Palace Hotel,2 New Montgomery St,,San Francisco,CA,94105,,415-512-1111,E,,Public,24 hours daily,,,,,,1,,,,,GPS,37.78881,-122.401,2018-05-03,21358,2018-05-03 14:44:18 UTC,P,,,2002-01-31,,,,,J1772,US,,,,Public,,public,,
ELEC,Mark Hopkins InterContinental Hotel,999 California St,California at Mason,San Francisco,CA,94108,,415-392-3434,E,,Public,24 hours daily; for guest use only; see valet for access,,,,,,1,,,,,200-8,37.791791,-122.411265,2017-12-05,21360,2018-11-15 19:52:24 UTC,P,,,2002-01-31,,,,,J1772,US,,,,Public,,public,,
ELEC,Ellis O'Farrell Garage,123 O'Farrell St,At Powell Street,San Francisco,CA,94102,,415-986-4800,E,,Public,24 hours daily; pay lot,,,,,,,,1 SP Inductive,,,200-9,37.786061,-122.407088,2018-05-03,21367,2018-05-03 14:44:18 UTC,LG,,,2002-01-31,,,,,,US,,,,Public,,public,,
ELEC,Hotel Sofitel,8555 Beverly Blvd,,Los Angeles,CA,90048,,310-278-5444,E,,Public,24 hours daily; for guest use only; see valet for access,,,,,,2,,,,,GPS,34.07631,-118.377,2018-05-03,21368,2018-05-03 14:44:18 UTC,P,,,2002-01-31,,,,,J1772,US,,,,Public,,public,,
ELEC,Music Center Parking - Level 2,135 N Grand Ave,"Music Center Parking Lot 14, level 2",Los Angeles,CA,90012,,213-972-7211  323-267-2023,E,,Public,"Garage business hours; pay lot; keypad activated, instructions on EVSE",,,,,,2,,,,,200-9,34.055974,-118.248893,2018-09-10,21374,2018-09-10 19:53:21 UTC,P,,,2002-01-31,,,,,J1772,US,,,,Public,,public,,
ELEC,Balboa Golf Course,16821 Burbank Blvd,,Encino,CA,91436,,818-995-1170,E,,Public,24 hours daily,,,,,,1,,,,,200-8,34.169242,-118.497212,2018-05-03,21383,2018-05-03 14:44:18 UTC,P,,,1998-06-15,,,,,J1772,US,,,,Public,,public,,
ELEC,California State University - Northridge,18111 Nordhoff St,Lot G9 structure; Near Zelzah and Kenzie second level parking,Northridge,CA,91330,,818-677-1200,E,,Public,24 hours daily; parking permit required,,,,,,2,,,,,GPS,34.248959,-118.523887,2018-05-03,21395,2018-05-03 14:44:18 UTC,P,,,2002-01-15,,,,,J1772,US,,,,Public,,public,,
ELEC,California State University - Northridge,18111 Nordhoff St,"Lot B4; Prairie St, near Darby Ave",Northridge,CA,91330,,818-677-1200,E,,Public,24 hours daily; parking permit required,,,,,,2,,,,,GPS,34.241687,-118.528543,2018-05-03,21396,2018-05-03 14:44:18 UTC,P,,,2002-01-15,,,,,J1772,US,,,,Public,,public,,
ELEC,California State University - Northridge,18111 Nordhoff St,"Surface lot B2; West side of Etiwanda, South of Prairie",Northridge,CA,91330,,818-677-1200,E,,Public,24 hours daily; parking permit required,,,,,,4,,,,,GPS,34.236853,-118.532588,2018-05-03,21397,2018-05-03 14:44:18 UTC,P,,,2002-01-15,,,,,J1772,US,,,,Public,,public,,
ELEC,Los Angeles Harbor Department Headquarters,425 S Palos Verdes St,,San Pedro,CA,90731,,310-732-7678,E,,Public,8am-5pm daily,,,,,,4,,,,,200-9,33.740758,-118.28192,2018-05-03,21402,2018-05-03 14:44:18 UTC,P,,,2013-03-26,,,,,J1772,US,,,,Public,,public,,
ELEC,City of Los Angeles - Constituent Service Center,8475 S Vermont Ave,,Los Angeles,CA,90044,,213-485-7616,E,,Public,24 hours daily,,,,,,2,,,,,200-8,33.961256,-118.29187,2018-05-03,21405,2018-05-03 14:44:18 UTC,P,,,2002-01-31,,,,,J1772,US,,,,Public,,public,,
ELEC,Getty Center,1200 Getty Center Dr,Eight Level 2 and four Level 1 chargers located in P2 of main parking area. Eight Level 2 and eight Level 1 chargers located at Top of Hill Parking.,Los Angeles,CA,90049,,310-440-7300,E,,Public,Garage business hours; pay lot,,,,,12,16,,,,,200-9,34.077588,-118.474585,2018-05-03,21419,2018-11-09 19:30:59 UTC,P,,,2013-07-01,,,,,J1772 NEMA520,US,,,,Public,,public,,
ELEC,Los Angeles County - Arboretum,301 N Baldwin Ave,Located in parking lot directly across from Harvard Dr,Arcadia,CA,91007,,323-267-2023,E,,Public,24 hours daily,,,,,1,1,,,,,200-8,34.142727,-118.051275,2018-09-10,21450,2018-09-10 19:53:21 UTC,P,,,2014-06-01,,,,,J1772,US,,,,Public,,public,,
ELEC,City of Glendora - City Hall,114 S Vista Bonita Ave,Located across the street from City Hall,Glendora,CA,91741,,626-914-8200,E,,Public,24 hours daily,,,,,,2,,,,,GPS,34.13556,-117.864,2018-05-03,21498,2018-05-03 14:44:18 UTC,LG,,,2002-04-30,,,,,J1772,US,,,,Public,,public,,
ELEC,CALTECH,370 S Holliston Ave,HOLLISTON AVE; Caltech Permit Required (Enforced),Pasadena,CA,91106,,888-758-4389,E,,Public,24 hours daily,,,,,,1,,,ChargePoint Network,http://www.chargepoint.com/,GPS,34.1394768,-118.1226044,2018-11-18,21516,2018-11-18 10:09:00 UTC,,,,,,,,,J1772,US,,,,Public,,public,,
ELEC,DoubleTree Hotel - Los Angeles - Westside,6161 Centinela Ave,,Culver City,CA,90230,,310-649-1776,E,,Public,24 hours daily; guest use only,,,,,,2,,,,,GPS,33.9826,-118.3966,2018-05-03,21524,2018-05-03 14:44:18 UTC,P,,,2012-06-18,,,,,J1772,US,,,,Public,,public,,
ELEC,Helms Bakery Building,8800 Venice Blvd,,Los Angeles,CA,90034,,310-204-1865,E,,Public,24 hours daily,,,,,,6,,,,,200-9,34.029971,-118.385231,2018-05-03,21525,2018-05-03 14:44:18 UTC,P,,,2017-04-25,,,,,J1772,US,,,,Public,,public,,
ELEC,Westfield MainPlace Mall,2800 N Main St,,Santa Ana,CA,92705,,714-547-7800,E,,Public,24 hours daily,,,,,,1,,1 SP Inductive,,,GPS,33.77699,-117.871,2017-12-05,21535,2018-07-26 16:26:01 UTC,P,,,2002-05-30,,,,,J1772,US,,,,Public,,public,,
ELEC,CITY OF SB EV2,1115 Anacapa St,"STATION 3
STATION 4",Santa Barbara,CA,93101,,888-758-4389,E,,Public,24 hours daily,,,,,2,2,,,ChargePoint Network,http://www.chargepoint.com/,200-8,34.423495,-119.70228,2018-11-18,21557,2018-11-18 10:09:00 UTC,,,,,,,,,J1772 NEMA520,US,,,,Public,,public,,
ELEC,California State University - Channel Islands,1 University Dr,Located in lot A3,Camarillo,CA,93012,,805-437-8400,E,,Public,24 hours daily,,,,,,5,,,,,200-8,34.165493,-119.04505,2018-04-03,21559,2018-04-03 18:22:40 UTC,P,,,2002-05-30,,,,,J1772,US,,,,Public,,public,,
ELEC,Brea Downtown Parking,101 S Brea Blvd,,Brea,CA,92821,,714-990-7650,E,,Public,Garage business hours; 4 hour parking limit,,,,,,4,,1 SP Inductive,,,200-8,33.919899,-117.898618,2018-05-03,21561,2018-05-03 14:44:18 UTC,LG,,,2002-05-30,,,,,J1772,US,,,,Public,,public,,
ELEC,Home Depot,2745 Teller Rd,In front of garden center,Newbury Park,CA,91320,,805-375-6680,E,,Public,24 hours daily,,,,,4,2,,,,,200-8,34.18997,-118.934393,2018-05-03,21565,2018-05-03 14:44:18 UTC,P,,,2002-05-15,,,,,J1772 NEMA515,US,,,,Public,,public,,
ELEC,Lake Casitas Municipal Water District - Recreational Area,Casitas Pass Rd & Baldwin Rd,Baldwin Road/Casitas Pass Road,Oak View,CA,93022,,805-649-2233,E,,Public - Call ahead,8am-5pm daily,,,,,,1,,,,,GPS,34.418322,-119.3368,2018-05-03,21566,2018-05-03 14:44:18 UTC,P,,,2002-05-30,,,,,J1772,US,,,,Public - Appeler à l'avance,,public,CALL,
ELEC,San Dimas Park & Ride,205 S San Dimas Ave,Bonita Ave and San Dimas Ave,San Dimas,CA,91773,,909-394-6200,E,,Public,24 hours daily,,,,,,2,,,,,200-9,34.105203,-117.807471,2018-05-03,21569,2018-05-03 14:44:18 UTC,P,,,2002-05-30,,,,,J1772,US,,,,Public,,public,,
ELEC,Loews Santa Monica Beach Hotel,1700 Ocean Ave,,Santa Monica,CA,90401,,310-458-6700,E,,Public,24 hours daily; for guest use only; see valet for access,,,,,,2,,,,,GPS,34.00907,-118.4928,2017-12-05,21575,2018-11-16 18:53:00 UTC,P,,,2012-09-14,,,,,J1772,US,,,,Public,,public,,
ELEC,City of Pasadena - El Molino Lot,100 N El Molino Ave,,Pasadena,CA,91101,,626-744-7665,E,,Public,24 hours daily; pay lot,,,,,,2,,,,,200-8,34.147697,-118.136897,2018-11-08,21594,2018-11-08 16:06:54 UTC,LG,,,2002-05-30,,,,,J1772,US,,,,Public,,public,,
ELEC,Ventura County Government Center,800 S Victoria Ave,,Ventura,CA,93009,,805-477-1917,E,,Public,8am-5pm daily,,,,,,1,,,,,GPS,34.267352,-119.2124,2018-09-10,21606,2018-09-10 19:53:21 UTC,LG,,,2012-10-19,,,,,J1772,US,,,,Public,,public,,
ELEC,Ventura County Air Pollution Control District,669 County Square Dr,,Ventura,CA,93003,,805-645-1400,E,,Public,8am-5pm daily,,,,,,3,,,,,GPS,34.268756,-119.2154,2018-09-10,21607,2018-09-10 19:53:21 UTC,LG,,,2012-10-18,,,,,J1772,US,,,,Public,,public,,
ELEC,Pacific View Mall,3295 E Main St,,Ventura,CA,93003,,805-642-5530,E,,Public,24 hours daily,,,,,,3,,,,,GPS,34.268,-119.2492,2018-05-03,21608,2018-05-03 14:44:18 UTC,P,,,2002-05-30,,,,,J1772,US,,,,Public,,public,,
ELEC,University of California - Davis Extension,1441 Research Park Dr,,Davis,CA,95616,,530-752-8277,E,,Public,24 hours daily,,,,,1,3,,,,,200-9,38.539118,-121.732015,2018-05-03,21673,2018-05-03 14:44:18 UTC,SG,,,2004-06-01,,,,,J1772 NEMA520,US,,,,Public,,public,,
ELEC,San Luis Obispo County Air Pollution Control District,3433 Roberto Ct,,San Luis Obispo,CA,93401,,805-781-5912,E,,Public,8am-5pm M-F; see front desk for code,,,,,1,1,,,,,GPS,35.25939,-120.64492,2018-09-10,21713,2018-09-10 19:53:21 UTC,LG,,,2002-07-15,,,,,J1772 NEMA520,US,,,,Public,,public,,
ELEC,Soquel & Front Garage,601 Front St,,Santa Cruz,CA,95061,,831-420-5184,E,,Public,24 hours daily,,,,,,5,,,,,200-9,36.973393,-122.024849,2018-05-03,21794,2018-05-03 14:44:18 UTC,P,,,1998-06-30,,,,,J1772,US,,,,Public,,public,,
ELEC,Fair Oaks - Orangevale - Community Library,11601 Fair Oaks Blvd,,Fair Oaks,CA,95628,,916-264-2700,E,,Public,24 hours daily,,,,,,2,,,,,GPS,38.66292,-121.2634,2018-05-03,25491,2018-05-03 14:44:18 UTC,LG,,,2004-06-01,,,,,J1772,US,,,,Public,,public,,
ELEC,City of Sacramento - City Hall Public Parking Garage,10th St & I St,"Lot I, Levels 2 and 8, Waterfall Building.",Sacramento,CA,95814,,916-264-5011,E,,Public,24 hours daily; pay lot,,,,,4,21,,2 SP Inductive,,,GPS,38.58098,-121.493,2018-09-10,25493,2018-09-10 19:53:21 UTC,LG,,,2004-05-30,,,,,J1772 NEMA1450,US,,,,Public,,public,,
ELEC,Sutter Galleria Mall - University of California - Davis Extension,2901 K St,Located on the 2nd floor,Sacramento,CA,95816,,916-327-7072,E,,Public,24 hours daily; pay lot; visitor and student use only,,,,,1,2,,,,,200-9,38.57277,-121.467902,2018-05-03,25494,2018-05-03 14:44:18 UTC,P,,,2004-05-30,,,,,J1772 NEMA520,US,,,,Public,,public,,
ELEC,Gateway Oaks Metro Center,2710 Gateway Oaks Dr,,Sacramento,CA,95833,,916-921-5005,E,,Public,24 hours daily,,,,,,1,,,,,200-8,38.615468,-121.517263,2018-11-08,25500,2018-11-08 16:06:54 UTC,P,,,2004-05-30,,,,,J1772,US,,,,Public,,public,,
ELEC,Belle Cooledge Library,5600 S Land Park Dr,,Sacramento,CA,95822,,916-264-2700,E,,Public,24 hours daily,,,,,,2,,,,,GPS,38.524403,-121.5112,2018-05-03,25502,2018-05-03 14:44:18 UTC,LG,,,2004-05-30,,,,,J1772,US,,,,Public,,public,,
ELEC,Mosquito Road Park and Ride,Mosquito Rd & Clay St,,Placerville,CA,95667,,530-642-5383,E,,Public,Lot business hours; overnight parking prohibited,,,,,,2,,,,,GPS,38.73323,-120.78962,2018-05-03,25507,2018-05-03 14:44:18 UTC,LG,,,2004-05-30,,,,,J1772,US,,,,Public,,public,,
ELEC,Vacaville Cultural Center,1000 Ulatis Dr,,Vacaville,CA,95687,,707-449-5424,E,,Public,24 hours daily,,,,,,1,,1 SP Inductive,,,GPS,38.356027,-121.9628,2018-09-10,25511,2018-09-10 19:53:21 UTC,LG,,,2004-06-15,,,,,J1772,US,,,,Public,,public,,
ELEC,Stars Recreation Center,155 Browns Valley Pkwy,,Vacaville,CA,95688,,707-449-5424,E,,Public,24 hours daily,,,,,,3,,1 SP Inductive,,,GPS,38.36557,-121.967,2018-09-10,25514,2018-09-10 19:53:21 UTC,LG,,,2004-06-15,,,,,J1772,US,,,,Public,,public,,
